JourneyCode,HolidayType,Price,NumberOfPersons,Region,Transportation,Duration,Season,Accommodation,Hotel
1,Bathing,2498,2,Egypt,Plane,14,April,TwoStars,Hotel White House - Egypt
2,Bathing,3066,3,Egypt,Plane,21,May,TwoStars,Hotel White House - Egypt
3,Active,2778,2,Egypt,Plane,14,June,TwoStars,Hotel Geisum - Egypt
4,Bathing,3195,3,Egypt,Plane,7,July,ThreeStars,Hotel Al Mashrabia - Egypt
5,Bathing,3158,2,Egypt,Plane,14,September,ThreeStars,Hotel Al Mashrabia - Egypt
6,Active,3318,2,Egypt,Plane,14,October,ThreeStars,Hotel Al Mashrabia - Egypt
7,Bathing,2458,2,Egypt,Plane,14,June,FourStars,Hotel Winter Palace - Egypt
8,Active,2649,3,Egypt,Plane,7,July,FourStars,Hotel Winter Palace - Egypt
9,Education,4638,2,Egypt,Plane,21,April,FourStars,Anlage Arabia Beach - Egypt
10,Education,3738,2,Egypt,Plane,14,October,FourStars,Anlage Arabia Beach - Egypt
11,City,1978,2,Cairo,Plane,7,April,ThreeStars,Hotel Victoria - Cairo
12,City,1898,2,Cairo,Plane,7,May,ThreeStars,Hotel Victoria - Cairo
13,City,2158,2,Cairo,Plane,14,June,ThreeStars,Hotel Victoria - Cairo
14,City,1898,2,Cairo,Plane,7,September,ThreeStars,Hotel Victoria - Cairo
15,City,1154,1,Cairo,Plane,7,October,ThreeStars,Hotel New Marwa Palace - Cairo
16,City,2308,2,Cairo,Plane,7,April,ThreeStars,Hotel New Marwa Palace - Cairo
17,City,2658,2,Cairo,Plane,7,May,ThreeStars,Hotel New Marwa Palace - Cairo
18,City,1269,1,Cairo,Plane,14,July,ThreeStars,Hotel New Marwa Palace - Cairo
19,City,2608,2,Cairo,Plane,7,May,FiveStars,Hotel Moevenpick - Cairo
20,City,2468,2,Cairo,Plane,7,August,FiveStars,Hotel Moevenpick - Cairo
21,Recreation,1568,2,Belgium,Car,14,May,TwoStars,Hotel Ostend - Belgium
22,Active,798,3,Belgium,Car,7,June,TwoStars,Hotel Ostend - Belgium
23,Recreation,978,3,Belgium,Car,7,July,ThreeStars,Acces Hotel Mercure - Belgium
24,Recreation,978,2,Belgium,Car,7,August,ThreeStars,Acces Hotel Mercure - Belgium
